name,period,semiaxis,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,mass_sigma,teq,st_teff
Kepler-18 c,7.64159,0.0752,5.49,0.26,-0.26,17.3,1.9,-1.9,9.105263158,,5345
Kepler-18 d,14.85888,0.1172,6.98,0.33,-0.33,16.4,1.4,-1.4,11.71428571,,5345
Kepler-19 b,9.28699,0.0846,2.209,0.048,-0.048,6.1,2.8,-2.7,2.178571429,851,5541
Kepler-1972 b,7.54425,,0.802,0.042,-0.041,2.02,0.56,-0.62,3.607142857,,5818
Kepler-1972 c,11.3295,,0.868,0.051,-0.05,2.11,0.59,-0.65,3.576271186,,5818
Kepler-20 b,3.6961049,0.04565,1.773,0.053,-0.03,9.7,1.3,-1.3,7.461538462,1187,5495
Kepler-20 c,10.8540774,0.0936,2.894,0.036,-0.033,11.1,2.1,-2.1,5.285714286,828,5495
Kepler-20 d,77.611455,0.3474,2.606,0.053,-0.039,13.4,3.7,-3.6,3.621621622,430,5495
Kepler-21 b,2.7858212,0.0434,1.639,0.019,-0.015,7.5,1.3,-1.3,5.769230769,2015,6305
Kepler-223 b,7.38449,,2.99,0.18,-0.27,7.4,1.3,-1.1,5.692307692,,
Kepler-223 c,9.84564,,3.44,0.2,-0.3,5.1,1.7,-1.1,3,,
Kepler-223 d,14.78869,,5.24,0.26,-0.45,8,1.5,-1.3,5.333333333,,
Kepler-223 e,19.72567,,4.6,0.27,-0.41,4.8,1.4,-1.2,3.428571429,,
Kepler-238 e,23.654,,5.6,2.37,-0.46,169.7,71.7,-69.1,2.366806137,,
Kepler-238 f,50.447,,2,0.85,-0.17,13.5,2.9,-2.5,4.655172414,,
Kepler-25 b,6.238297,,2.748,0.038,-0.035,8.7,2.5,-2.3,3.48,,
Kepler-25 c,12.7207,,5.217,0.07,-0.065,15.2,1.3,-1.6,11.69230769,,
Kepler-26 b,12.28,,2.78,0.11,-0.11,5.12,0.65,-0.61,7.876923077,,3914
Kepler-26 c,17.2559,,2.72,0.12,-0.12,6.2,0.65,-0.65,9.538461538,,3914
Kepler-276 c,31.884,,2.9,1.27,-0.28,16.6,4.4,-3.6,3.772727273,,
Kepler-276 d,48.648,,2.8,1.23,-0.27,16.3,5,-4.3,3.26,,
Kepler-277 b,17.324,,2.92,0.73,-0.63,87.3,41.7,-39.9,2.09352518,,
Kepler-277 c,33.006,,3.36,0.83,-0.72,64.2,18.1,-15.7,3.546961326,,
Kepler-279 c,35.736,,4.3,1.72,-0.41,49.4,7.2,-5.9,6.861111111,,
Kepler-279 d,54.414,,3.1,1.24,-0.3,37.5,5.5,-4.5,6.818181818,,
Kepler-282 d,24.806,,2.46,1,-0.2,61,35.9,-36.1,1.699164345,,
Kepler-282 e,44.347,,3.1,1.26,-0.25,56.2,16.2,-16.7,3.469135802,,
Kepler-289 b,34.545,0.21,2.15,0.1,-0.1,7.3,6.8,-6.8,1.073529412,,5990
Kepler-289 c,125.8518,0.51,11.59,0.19,-0.19,132,17,-17,7.764705882,,5990
Kepler-289 d,66.0634,0.33,2.68,0.17,-0.17,4,0.9,-0.9,4.444444444,,5990
Kepler-29 b,10.33974,,2.55,0.12,-0.12,5,1.5,-1.3,3.333333333,,5378
Kepler-29 c,13.28613,,2.34,0.12,-0.11,4.5,1.1,-1.1,4.090909091,,5378
Kepler-30 b,29.33434,0.18,3.9,0.2,-0.2,11.3,1.4,-1.4,8.071428571,,5498
Kepler-30 c,60.323105,0.3,12.3,0.4,-0.4,640,50,-50,12.8,,5498
Kepler-30 d,143.34394,0.5,8.8,0.5,-0.5,23.1,2.7,-2.7,8.555555556,,5498
Kepler-305 b,5.487,,3.6,0.9,-0.36,10.5,2.6,-2,4.038461538,,
Kepler-305 c,8.291,,3.3,0.82,-0.33,6,2.4,-2.2,2.5,,
Kepler-307 b,10.4208,,2.43,0.09,-0.09,7.44,0.91,-0.87,8.175824176,,5367
Kepler-307 c,13.0729,,2.2,0.07,-0.07,3.64,0.65,-0.58,5.6,,5367
Kepler-323 c,3.5538229,0.0458,1.57,0.04,-0.04,6.8,3.4,-3.2,2,1431,6004
Kepler-328 b,34.921,,2.3,0.96,-0.23,28.5,12.9,-12.3,2.209302326,,
Kepler-328 c,71.312,,5.4,2.24,-0.54,39.4,13.6,-12.6,2.897058824,,
Kepler-338 e,9.341,,1.56,0.07,-0.07,8.5,7.2,-6.3,1.180555556,,
Kepler-34 b,288.822,1.0896,8.564,0.135,-0.157,69.92,3.496,-3.178,20,,5913
Kepler-35 b,131.458,0.60347,8.16,0.157,-0.157,40.363,6.356,-6.356,6.350377596,,5606
Kepler-350 c,17.849,,3.1,1.42,-0.6,6.1,3.3,-3.2,1.848484848,,
Kepler-350 d,26.136,,2.8,1.28,-0.54,14.9,5.3,-4.7,2.811320755,,
Kepler-36 b,13.86825,,1.498,0.061,-0.049,3.83,0.11,-0.1,34.81818182,,5979
Kepler-36 c,16.21865,,3.679,0.096,-0.091,7.13,0.18,-0.18,39.61111111,,5979
Kepler-39 b,21.08721,0.164,13.9,1.01,-1.12,6388.1,413.2,-381.4,15.46006776,897,6350
Kepler-396 b,42.994,,3.5,1.28,-0.65,75.5,11.8,-5.8,6.398305085,,
Kepler-396 c,88.505,,5.3,1.95,-0.99,17.9,2.8,-1.3,6.392857143,,
Kepler-4 b,3.21346,0.0456,4.002,0.213,-0.213,24.472,3.814,-3.814,6.416360776,1650,5857
Kepler-40 b,6.87349,0.08,13.11,0.45,-0.45,699.2,127.1,-127.1,5.501180173,1620,6510
Kepler-406 b,2.42629,,1.43,0.03,-0.03,6.35,1.4,-1.4,4.535714286,,5538
Kepler-406 c,4.62332,,0.85,0.03,-0.03,2.71,1.8,-1.8,1.505555556,,5538
Kepler-41 b,1.8555582,0.03101,14.46,0.22,-0.22,177.98,25.43,-25.43,6.998820291,1790,5750
Kepler-411 b,3.005156,0.0375,2.401,0.053,-0.053,25.6,2.6,-2.6,9.846153846,1138,
Kepler-411 c,7.834435,0.0739,4.421,0.062,-0.062,26.4,5.9,-5.9,4.474576271,838,
Kepler-411 d,58.02035,0.279,3.319,0.104,-0.104,15.2,5.1,-5.1,2.980392157,410,
Kepler-412 b,1.7208604,0.02897,15.031,0.493,-0.516,299.07803,39.72875,-6.03877,7.528,1850,5750
Kepler-413 b,66.262,0.3553,4.347,0.099,-0.099,67,22,-21,3.045454545,,4700
Kepler-414 b,4.7,,1.71,0.31,-0.14,3.5,3.4,-2.9,1.029411765,,
Kepler-414 c,7.171,,3.01,0.54,-0.25,29.9,12.4,-10.5,2.411290323,,
Kepler-415 b,4.176,,1.21,0.13,-0.1,119.9,102.1,-87.4,1.174338883,,
Kepler-416 b,6.319,,2.48,0.99,-0.33,58.2,53.4,-39.5,1.08988764,,
Kepler-417 b,12.331,,2.31,0.86,-0.17,11,9.3,-7.9,1.182795699,,
Kepler-419 b,69.7546,0.37,10.8,1.4,-1.3,794.5,95.3,-95.3,8.33683106,,6430
Kepler-422 b,7.8914483,0.082,12.89,1.23,-1.23,136.66,41.32,-41.32,3.307357212,,5972
Kepler-423 b,2.6843285,0.03585,13.361,0.583,-0.583,189.101,25.743,-25.743,7.345725051,1605,5560
Kepler-424 b,3.3118644,0.044,9.98,0.9,-0.67,327.35,41.32,-41.32,7.92231365,,5460
Kepler-425 b,3.79701816,0.0464,10.962,0.247,-0.247,79.45,25.43,-25.43,3.124262682,1070,5170
Kepler-426 b,3.21751883,0.0414,12.22,0.34,-0.34,108.06,25.43,-25.43,4.249311836,1300,5725
Kepler-427 b,10.290994,0.091,13.79,2.35,-2.35,92.17,28.6,-28.6,3.222727273,1100,5800
Kepler-428 b,3.52563254,0.0433,12.11,0.34,-0.34,403.63,60.39,-60.39,6.683722471,1070,5150
Kepler-43 b,3.0240949,0.046,13.664,0.729,-0.717,1026.5909,82.6358,-82.6358,12.42307692,1620,6041
Kepler-432 b,52.501129,0.301,12.834,0.404,-0.437,1719.4603,101.7056,-57.2094,16.90625,,4995
Kepler-433 b,5.33408384,0.0679,16.25,1.79,-1.79,896.24,165.26,-165.26,5.423211909,1776,6360
Kepler-434 b,12.8747099,0.1143,12.67,2.91,-2.02,908.96,111.24,-111.24,8.171161453,1000,5977
Kepler-435 b,8.6001536,0.0948,22.31,2.02,-2.02,266.97,47.67,-47.67,5.600377596,1729,6161
Kepler-44 b,3.2467293,0.0446,12.22,0.78,-0.78,317.82,31.78,-31.78,10.00062933,1544,5800
Kepler-447 b,7.79430132,0.0769,18.49,6.61,-6.28,435.41,152.55,-146.2,2.854211734,,5493
Kepler-45 b,2.455239,0.03,10.76,1.23,-1.23,160.497,28.604,-28.604,5.610998462,1000,3820
Kepler-454 b,10.5737534,0.09528,2.37,0.13,-0.13,5.4,1.4,-1.4,3.857142857,916,5687
Kepler-462 b,84.6866,,3,0.2,-0.1,53.9,104.6,-23.8,0.515296367,,7500
Kepler-462 c,207.62,,4,0.2,-0.2,6,10.8,-4.9,0.555555556,,7500
Kepler-47 b,49.4643,0.2877,3.05,0.04,-0.04,2.07,23.7,-2.07,0.087341772,,
Kepler-47 c,303.227,0.9638,4.65,0.09,-0.07,3.17,2.18,-1.25,1.45412844,,
Kepler-47 d,187.366,0.6992,7.04,0.66,-0.49,19.02,23.84,-11.67,0.797818792,,
Kepler-48 b,4.778,,1.88,0.1,-0.1,3.94,2.1,-2.1,1.876190476,,5194
Kepler-48 c,9.67395,,2.71,0.14,-0.14,14.61,2.3,-2.3,6.352173913,,5194
Kepler-48 d,42.8961,,2.04,0.11,-0.11,7.93,4.6,-4.6,1.723913043,,5194
Kepler-5 b,3.5484657,0.0538,15.984,0.404,-0.572,670.93913,21.29461,-27.33338,31.50746269,1750,6297
Kepler-51 b,45.154,0.2514,7.1,0.3,-0.3,2.1,1.5,-0.8,1.4,543,6018
Kepler-51 c,85.312,0.384,9,2.8,-1.7,4,0.4,-0.4,10,439,6018
Kepler-51 d,130.194,0.509,9.7,0.5,-0.5,7.6,1.1,-1.1,6.909090909,381,6018
Kepler-538 b,81.73778,0.3554,2.215,0.04,-0.034,12.9,2.9,-2.9,4.448275862,417,5534
Kepler-539 b,125.63243,0.4988,8.373,0.191,-0.191,308.2951,92.1707,-92.1707,3.344827586,388,5820
Kepler-56 b,10.5016,0.1028,6.51,0.29,-0.28,22.1,3.9,-3.6,5.666666667,,4840
Kepler-56 c,21.40239,0.1652,9.8,0.46,-0.46,181,21,-19,8.619047619,,4840
Kepler-595 b,25.3029092,,3.708,0.01,-0.01,17.4,7.1,-3.8,2.450704225,,
Kepler-595 c,12.38602,,1.009,0.024,-0.024,3.3,1.7,-1,1.941176471,,
Kepler-6 b,3.2346996,0.04852,14.617,0.202,-0.37,212.31044,12.07754,-11.12405,17.57894737,1460,5647
Kepler-60 b,7.1334,,1.71,0.13,-0.13,4.19,0.56,-0.52,7.482142857,,5905
Kepler-60 c,8.9187,,1.9,0.15,-0.15,3.85,0.81,-0.81,4.75308642,,5905
Kepler-60 d,11.8981,,1.99,0.16,-0.16,4.16,0.84,-0.75,4.952380952,,5905
Kepler-68 b,5.39875259,0.06135,2.357,0.023,-0.023,8.03,0.67,-0.67,11.98507463,1275,5847
Kepler-7 b,4.8854892,0.06067,18.181,0.146,-0.146,140.16303,13.66669,-13.34886,10.25581395,1630,5933
Kepler-74 b,7.340711,0.0781,10.76,0.22,-0.22,200.22,38.14,-38.14,5.249606712,1078,6000
Kepler-75 b,8.8849116,0.0818,11.77,0.34,-0.34,3209.9,127.1,-127.1,25.25491739,767,5200
Kepler-76 b,1.5449298,0.0274,15.244,1.345,-1.345,638.8383,117.5971,-111.2405,5.432432432,2140,6409
Kepler-77 b,3.57878087,0.04501,10.761,0.179,-0.179,136.661,10.17,-10.17,13.43765978,1440,5520
Kepler-78 b,0.35500745,0.00901,1.201,0.028,-0.028,1.68,0.27,-0.27,6.222222222,2223,5058
Kepler-79 b,13.4845,0.117,3.47,0.07,-0.07,10.9,7.4,-6,1.472972973,,6174
Kepler-79 c,27.4029,0.187,3.72,0.08,-0.08,5.9,1.9,-2.3,3.105263158,,6174
Kepler-79 d,52.0902,0.287,7.16,0.13,-0.16,6,2.1,-1.6,2.857142857,,6174
Kepler-79 e,81.0659,0.386,3.49,0.14,-0.14,4.1,1.2,-1.1,3.416666667,,6174
Kepler-8 b,3.5224991,0.0474,15.872,0.594,-0.695,187.5197,41.3179,-38.1396,4.538461538,1680,6213
Kepler-80 b,7.05246,0.0648,2.67,0.1,-0.1,6.93,1.05,-0.7,6.6,,4540
Kepler-80 c,9.52355,0.0792,2.74,0.12,-0.1,6.74,1.23,-0.86,5.479674797,,4540
Kepler-80 d,3.07222,0.0372,1.53,0.09,-0.07,6.75,0.69,-0.51,9.782608696,,4540
Kepler-80 e,4.64489,0.0491,1.6,0.08,-0.07,4.13,0.81,-0.95,5.098765432,,4540
Kepler-82 b,26.44,0.1683,4.07,0.24,-0.1,12.15,0.96,-0.87,12.65625,,
Kepler-82 c,51.54,0.2626,5.34,0.32,-0.13,13.9,1.3,-1.2,10.69230769,,
Kepler-87 b,114.73635,0.481,13.49,0.55,-0.55,324.2,8.8,-8.8,36.84090909,478,5600
Kepler-87 c,191.2318,0.676,6.14,0.29,-0.29,6.4,0.8,-0.8,8,403,5600
Kepler-9 b,19.23891,0.143,8.29,0.54,-0.43,43.4,1.6,-2,27.125,,5774
Kepler-9 c,38.9853,0.227,8.08,0.54,-0.41,29.9,1.1,-1.3,27.18181818,,5774
Kepler-91 b,6.24658,0.0731,15.323,0.773,-0.673,257.4423,57.2094,-54.0311,4.5,2040,4550
Kepler-92 b,13.749,,3.51,0.1,-0.1,64.3,13.9,-13.9,4.625899281,,
Kepler-92 c,26.723,,2.6,0.08,-0.08,6.1,1.8,-1.8,3.388888889,,
Kepler-93 b,4.72673978,0.05343,1.478,0.019,-0.019,4.66,0.53,-0.53,8.79245283,1133,5669
Kepler-94 b,2.50806,,3.51,0.15,-0.15,10.84,1.4,-1.4,7.742857143,,4781
Kepler-95 b,11.5231,,3.42,0.09,-0.09,13,2.9,-2.9,4.482758621,,5699
Kepler-96 b,16.2385,,2.67,0.22,-0.22,8.46,3.4,-3.4,2.488235294,,5690
Kepler-97 b,2.58664,,1.48,0.13,-0.13,3.51,1.9,-1.9,1.847368421,,5779
Kepler-98 b,1.54168,,1.99,0.22,-0.22,3.55,1.6,-1.6,2.21875,,5539
Kepler-99 b,4.60358,,1.48,0.08,-0.08,6.15,1.3,-1.3,4.730769231,,4782
KOI-12 b,17.855182,0.154,13.787,0.673,-0.56,349.613,1112.405,-254.264,0.314285714,,
KOI-1257 b,86.647661,0.382,10.54,1.35,-1.35,460.83,111.24,-111.24,4.142664509,511,5520
KOI-13 b,1.763588,0.03641,16.948,0.392,-0.392,2949.4624,50.8528,-50.8528,58,2550,7650
KOI-142 b,10.91647,,3.438,0.075,-0.075,9.5,1.1,-1.1,8.636363636,,5466
KOI-1599.01,20.4415,0.14728,1.9,0.3,-0.3,4.6,0.3,-0.3,15.33333333,,
KOI-1599.02,13.6088,0.112293,1.9,0.2,-0.2,9,0.3,-0.3,30,,
KOI-1783.01,134.4628,,8.86,0.25,-0.24,71,11.2,-9.2,6.339285714,,5922
KOI-1783.02,284.215,,5.44,0.52,-0.3,15,4.3,-3.6,3.488372093,,5922
KOI-1831 d,34.169,,1.13,0.05,-0.05,2.23,0.5,-0.84,4.46,475,5233
KOI-3680 b,141.241671,0.534,11.097,0.673,-0.785,613.4119,60.3877,-66.7443,10.15789474,347,5830
KOI-94 b,3.743208,0.05119,1.71,0.16,-0.16,10.5,4.6,-4.6,2.282608696,1486,6182
KOI-94 c,10.423648,0.1013,4.32,0.41,-0.41,15.6,5.7,-15.6,2.736842105,1012,6182
KOI-94 d,22.342989,0.1684,11.27,1.06,-1.06,106,11,-11,9.636363636,806,6182
KOI-94 e,54.32031,0.3046,6.56,0.62,-0.62,35,18,-28,1.944444444,584,6182
KPS-1 b,1.706291,0.0269,11.545,1.457,-1.345,346.4347,27.33338,-27.65121,12.6744186,1459,5165
L 168-9 b,1.4015,0.02091,1.39,0.09,-0.09,4.6,0.56,-0.56,8.214285714,965,3800
L 98-59 b,2.2531136,0.02191,0.85,0.061,-0.047,0.4,0.16,-0.15,2.5,627,3415
L 98-59 c,3.6906745,,1.34,0.07,-0.07,2.42,0.35,-0.34,6.914285714,,3412
L 98-59 d,7.450729,,1.58,0.08,-0.08,2.31,0.46,-0.45,5.02173913,,3412
LHS 1140 b,24.73694,0.0957,1.635,0.046,-0.046,6.38,0.46,-0.44,13.86956522,379,2988
LHS 1140 c,3.77792,0.02734,1.169,0.037,-0.038,1.76,0.17,-0.16,10.35294118,709,2988
LHS 1478 b,1.9495378,0.01848,1.242,0.051,-0.049,2.33,0.2,-0.2,11.65,595,3381
LHS 1815 b,3.814334,,1.088,0.064,-0.064,1.58,0.64,-0.6,2.46875,,3643
LP 714-47 b,4.052037,0.0417,4.7,0.3,-0.3,30.8,1.5,-1.5,20.53333333,700,3950
LP 791-18 c,4.9899093,0.02961,2.438,0.096,-0.096,7.1,0.7,-0.7,10.14285714,324,2960
LP 791-18 d,2.753436,0.01992,1.032,0.044,-0.043,0.9,0.5,-0.4,1.8,396,2960
LTT 1445 A b,5.3587657,0.03813,1.305,0.066,-0.061,2.87,0.26,0.26,11.03846154,424,3340
LTT 1445 A c,3.1239035,0.02661,1.147,0.055,-0.054,1.54,0.2,-0.19,7.7,508,3340
LTT 3780 b,0.76837883,,1.32,0.06,-0.06,2.47,0.24,-0.24,10.29166667,,3360
LTT 3780 c,12.252196,,2.33,0.14,-0.13,7.02,0.69,-0.67,10.17391304,,3360
LTT 9779 b,0.792052,0.01679,4.72,0.23,-0.23,29.32,0.78,-0.81,37.58974359,1978,5443
Lupus-TR-3 b,3.91405,0.0464,9.976,0.785,-0.785,257.431,57.207,-57.207,4.49999126,,5000
MASCARA-4 b,2.82406,0.047,17.15,0.785,-0.448,985.273,286.047,-286.047,3.444444444,2100,7800
NGTS-1 b,2.647298,0.0326,14.908,6.837,-3.699,258.07796,20.97678,-23.83725,12.3030303,790,3916
NGTS-10 b,0.7668944,0.0143,13.507,1.311,-0.93,687.14846,29.24036,-34.00781,23.5,1332,4600
NGTS-11 b,35.45533,0.201,9.158,0.314,-0.359,109.33352,29.24036,-23.20159,3.739130435,435,5050
NGTS-12 b,7.532806,0.0757,11.747,0.359,-0.359,66.10864,6.99226,-6.99226,9.454545455,1257,5690
NGTS-13 b,4.119027,0.0549,12.801,0.516,-0.516,1538.2972,139.8452,-139.8452,11,1605,5819
NGTS-14 A b,3.5357173,0.0403,4.977,0.336,-0.336,29.24036,3.81396,-3.81396,7.666666667,1143,5187
NGTS-15 b,3.27623,0.0441,12.33,1.121,-1.121,238.68913,32.4185,-27.9689,7.362744421,1146,5600
NGTS-16 b,4.84532,0.0523,14.572,1.457,-1.345,211.99155,49.89906,-40.99986,4.248407685,1177,5550
NGTS-17 b,3.24253,0.0391,13.899,1.233,-1.233,242.8209,61.97654,-52.12386,3.91794863,1457,5650
NGTS-18 b,3.05125,0.0448,13.563,2.018,-2.018,129.99182,25.7441,-20.02319,5.049382965,1381,5610
NGTS-2 b,4.511164,0.063,17.878,0.527,-0.504,235.1942,41.3179,-38.1396,5.692307692,1468,6478
NGTS-20 b,54.18915,0.313,11.994,0.448,-0.448,947.12865,50.85255,-47.67426,18.62499816,688,5980
NGTS-21 b,1.5433897,0.0236,14.908,0.336,-0.336,750.07504,66.74397,-66.74397,11.23809447,1357,4660
NGTS-23 b,4.0764326,0.0504,14.202,0.336,-0.336,194.82881,30.82936,-30.82936,6.319586589,1327,6057
NGTS-24 b,3.4678796,0.0479,13.608,0.65,-0.695,165.27077,38.13941,-34.96112,4.333333159,1499,5820
NGTS-25 b,2.823093,0.0388,11.467,0.392,-0.583,203.09235,18.43405,-16.52708,11.01723984,1101,5321
NGTS-3 A b,1.6753728,0.023,16.589,4.147,-4.147,756.4354,82.6358,-82.6358,9.153846154,,5600
NGTS-4 b,1.3373508,0.019,3.18,0.26,-0.26,20.6,3,-3,6.866666667,1650,5143
NGTS-5 b,3.3569866,0.0382,12.733,0.258,-0.258,72.78307,11.75971,-11.75971,6.189189189,952,4987
NGTS-6 b,0.882059,0.01677,14.863,1.087,-1.255,425.57437,8.89924,-8.89924,47.82142857,1284,4730
NGTS-8 b,2.4997,0.035,12.218,0.336,-0.336,295.5819,12.7132,-9.5349,23.25,1345,5241
NGTS-9 b,4.43527,0.058,11.994,0.673,-0.673,921.707,54.0311,-54.0311,17.05882353,1448,6330
OGLE-TR-10 b,3.101278,0.0434,14.011,1.569,-1.345,197.046,44.494,-44.494,4.428597114,,5950
OGLE-TR-113 b,1.4324752,0.02289,12.251,0.314,-0.213,400.449,50.851,-50.851,7.874948379,,4790
OGLE-TR-132 b,1.689868,0.03035,13.45,1.68,-1.23,375.02,44.49,-41.32,8.429309957,2013,6210
OGLE-TR-182 b,3.9791,0.051,12.666,2.69,-0.897,320.995,47.672,-47.672,6.733407451,,5924
OGLE-TR-211 b,3.67724,0.051,15.244,2.018,-1.009,327.351,63.563,-63.563,5.150024385,,6325
OGLE-TR-56 b,1.2119189,0.02383,15.278,1.031,-1.009,441.77,57.21,-54.03,7.721901765,2212,6050
OGLE2-TR-L9 b,2.4855335,0.0308,18.046,0.448,-0.448,1430.175,476.725,-476.725,3,,6933
POTS-1 b,3.1606296,0.03734,10.548,0.404,-0.527,734.16,244.72,-244.72,3,,4400
Qatar-1 b,1.4200242,0.02332,12.812,0.291,-0.28,411.27202,16.52716,-15.57367,24.88461538,1418,5013
Qatar-10 b,1.645321,0.0286,17.295,0.448,-0.448,233.92288,28.6047,-28.6047,8.177777778,1955,6124
Qatar-2 b,1.33711647,0.02153,14.056,0.146,-0.146,792.635,17.162,-17.162,46.18546789,1344,4645
Qatar-3 b,2.5079204,0.03783,12.285,1.569,-1.569,1369.8473,149.3801,-149.3801,9.170212766,1681,6007
Qatar-4 b,1.8053564,0.02803,12.722,1.233,-1.233,1938.763,171.6282,-171.6282,11.2962963,1385,5215
Qatar-5 b,2.8792319,0.04127,12.408,0.717,-0.717,1373.0256,57.2094,-57.2094,24,1415,5747
Qatar-6 b,3.506195,0.0423,11.904,0.796,-0.796,212.31044,20.97678,-20.97678,10.12121212,1006,5052
Qatar-7 b,2.032046,0.0352,19.055,0.336,-0.336,597.5204,79.4575,-79.4575,7.52,2053,6387
Qatar-8 b,3.71495,0.0474,14.404,0.247,-0.247,117.91493,19.70546,-19.70546,5.983870968,1457,5738
Qatar-9 b,1.540731,0.0234,11.31,0.157,-0.157,378.2177,50.8528,-50.8528,7.4375,1134,4309
SWEEPS-11 b,1.796,0.03,12.666,2.354,-2.354,3082.82,1779.77,-1430.17,1.732145165,,
TIC 172900988 b,200.452,0.90281,11.25,0.44,-0.44,942,5.6,-5.6,168.2142857,,6050
TIC 237913194 b,15.168865,0.1207,12.52,0.605,-0.527,617.22586,29.24036,-28.92253,21.10869565,974,5788
