name,period,semiaxis,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,mass_sigma,teq,st_teff
TOI-892 b,10.62656,0.092,11.994,0.224,-0.224,301.9385,22.2481,-22.2481,13.57142857,1397,6261
TOI-905 b,3.739494,0.04666,13.126,0.594,-0.572,211.99261,13.34886,-13.03103,15.88095238,1192,5570
TOI-908 b,3.183792,0.041657,3.186,0.155,-0.155,16.137,4.112,-4.039,3.924367704,1317,5626
TOI-954 b,3.6849729,0.04963,9.55,0.594,-0.695,55.30242,5.72094,-5.40311,9.666666667,1526,5710
TOI-969 b,1.8237305,0.02636,2.765,0.088,-0.097,9.1,1,-1,9.1,941,4435
TRAPPIST-1 b,1.510826,0.01154,1.116,0.014,-0.012,1.374,0.069,-0.069,19.91304348,,2566
TRAPPIST-1 c,2.421937,0.0158,1.097,0.014,-0.012,1.308,0.056,-0.056,23.35714286,,2566
TRAPPIST-1 d,4.049219,0.02227,0.788,0.011,-0.01,0.388,0.012,-0.012,32.33333333,,2566
TRAPPIST-1 e,6.101013,0.02925,0.92,0.013,-0.012,0.692,0.022,-0.022,31.45454545,,2566
TRAPPIST-1 f,9.20754,0.03849,1.045,0.013,-0.012,1.039,0.031,-0.031,33.51612903,,2566
TRAPPIST-1 g,12.352446,0.04683,1.129,0.015,-0.013,1.321,0.038,-0.038,34.76315789,,2566
TRAPPIST-1 h,18.772866,0.06189,0.755,0.014,-0.014,0.326,0.02,-0.02,16.3,,2566
TrES-1 b,3.03007,,12.666,0.673,-0.673,266.9772,34.9613,-34.9613,7.636363636,,5230
TrES-2 b,2.47063,,15.244,0.897,-0.897,473.5667,69.9226,-69.9226,6.772727273,,5850
TrES-3 b,1.30618581,0.02282,14.975,0.347,-0.415,607.03,23.836,-25.425,25.46694076,,5650
TrES-4 b,3.55395,,18.046,2.018,-2.018,247.9074,60.3877,-60.3877,4.105263158,,6200
TrES-5 b,1.48224686,0.02459,13.384,0.168,-0.168,568.9157,21.61244,-21.61244,26.32352941,1480,5171
VHS J125601.92-125723.9 b,5800000,350,13.675,,,5085.25451,317.82841,-317.82841,15.99999984,1194,
WASP-1 b,2.5199454,0.03889,16.623,0.269,-0.381,271.415,18.116,-16.526,14.98206006,,
WASP-10 b,3.0927616,0.03781,12.106,0.224,-0.224,1001.12,41.32,-34.96,24.22846079,1370,4675
WASP-100 b,2.84938,,14.908,1.569,-1.569,400.4658,143.0235,-143.0235,2.8,,6900
WASP-101 b,3.58572,,16.029,1.009,-1.009,162.0933,25.4264,-25.4264,6.375,,6380
WASP-103 b,0.925542,0.01985,17.127,0.818,-0.527,473.547,27.968,-27.968,16.93174342,2508,6110
WASP-104 b,1.7554137,0.02918,12.745,0.415,-0.415,404.263,14.937,-14.937,27.06453773,1516,5475
WASP-105 b,7.87288,0.075,10.761,0.336,-0.336,572.094,31.783,-31.783,18,900,5070
WASP-106 b,9.28971,,11.433,3.363,-3.363,514.8846,298.7602,-298.7602,1.723404255,,6055
WASP-11 b,3.72247,,12.442,1.121,-1.121,251.0857,54.0311,-54.0311,4.647058824,,4800
WASP-110 b,3.77840121,,13.877,0.628,-0.628,162.09249,20.34102,-20.34102,7.968749355,,5400
WASP-113 b,4.54216875,0.05885,15.793,1.076,-1.569,150.96925,17.16282,-16.52716,8.796296296,1496,5890
WASP-114 b,1.5487743,0.02851,15.009,0.717,-0.717,562.24127,20.34112,-20.34112,27.640625,2043,5940
WASP-117 b,10.02165,,11.882,0.785,-0.785,95.349,15.8915,-15.8915,6,,6040
WASP-118 b,4.0460435,0.05453,16.141,0.404,-0.404,163.36462,6.3566,-6.3566,25.7,1729,6410
WASP-119 b,2.49979,0.0363,15.693,2.242,-2.242,390.9309,25.4264,-25.4264,15.375,1600,5650
WASP-12 b,1.09142,0.0232,21.712,0.628,-0.628,465.62095,25.10857,-25.10857,18.5443038,2593,6360
WASP-120 b,3.6112706,0.0514,16.511,1.076,-1.076,1541.4755,66.7443,-66.7443,23.0952381,1880,6450
WASP-121 b,1.27492504,0.02596,19.649,0.404,-0.404,367.72747,22.24799,-22.24799,16.52857045,,
WASP-123 b,2.9776412,0.04263,14.773,0.729,-0.729,285.72917,11.44188,-11.44188,24.97222222,1520,5740
WASP-124 b,3.37265,0.0449,13.899,0.336,-0.336,190.698,22.2481,-22.2481,8.571428571,1400,6050
WASP-127 b,4.17806203,0.0484,14.695,0.28,-0.325,52.3466,6.80156,-5.46668,7.696263798,,
WASP-129 b,5.748145,0.0628,10.424,0.336,-0.336,317.83,31.783,-31.783,10,1100,5900
WASP-13 b,4.35301,,13.675,1.569,-1.569,114.4188,28.6047,-28.6047,4,,5950
WASP-130 b,11.55098,0.1012,9.976,0.336,-0.336,390.9309,12.7132,-12.7132,30.75,833,5625
WASP-131 b,5.322023,0.0607,13.675,0.56,-0.56,85.8141,6.3566,-6.3566,13.5,1460,6030
WASP-133 b,2.176423,0.0345,13.563,0.56,-0.56,368.6828,28.6047,-28.6047,12.88888889,1790,5700
WASP-135 b,1.4013794,0.0243,14.572,1.009,-1.009,603.877,25.4264,-25.4264,23.75,,5675
WASP-136 b,5.215357,0.0661,15.468,1.793,-1.793,479.9233,25.4264,-25.4264,18.875,1742,6260
WASP-138 b,3.634433,0.0494,12.218,0.56,-0.56,387.7526,25.4264,-25.4264,15.25,1590,6272
WASP-139 b,5.924262,0.062,8.967,0.56,-0.56,37.18611,5.40311,-5.40311,6.882352941,910,5310
WASP-14 b,2.24375,,15.468,0.897,-0.897,2809.6172,444.962,-444.962,6.314285714,,6475
WASP-140 b,2.2359835,0.0323,16.141,4.708,-2.018,775.5052,22.2481,-22.2481,34.85714286,1320,5260
WASP-141 b,3.310651,0.0469,13.563,0.897,-0.897,854.9627,47.6745,-47.6745,17.93333333,1540,5900
WASP-142 b,2.052868,0.0347,17.15,0.897,-0.897,266.9772,28.6047,-28.6047,9.333333333,2000,6010
WASP-144 b,2.2783152,0.0316,9.528,0.56,-0.56,139.8452,19.0698,-19.0698,7.333333333,1260,5200
WASP-145 A b,1.7690381,0.0261,10.088,4.484,-4.484,282.8687,12.7132,-12.7132,22.25,1200,4900
WASP-147 b,4.60273,0.0549,12.498,1.569,-1.042,87.40325,8.89924,-8.58141,9.821428571,1404,5702
WASP-148 b,8.803809,0.08215,8.474,0.146,-0.191,91.21675,6.99222,-5.08525,13.04546339,,5555
WASP-15 b,3.7521,,15.805,4.035,-4.035,171.6282,92.1707,-92.1707,1.862068966,,6300
WASP-150 b,5.644207,0.0694,11.994,0.269,-0.28,2688.8418,88.9924,-63.566,30.21428571,1460,6218
WASP-151 b,4.5334775,0.055,13.305,0.235,-0.235,100.43378,9.85268,-9.85268,10.19354937,1312,
WASP-153 b,3.332609,0.048,17.374,1.121,-0.897,123.9537,6.3566,-6.3566,19.5,1700,5914
WASP-156 b,3.836169,0.0453,5.717,0.224,-0.224,40.68224,3.1783,-2.86047,12.8,970,4910
WASP-158 b,3.656333,0.0517,11.994,1.681,-1.681,886.7457,73.1009,-73.1009,12.13043478,1590,6350
WASP-159 b,3.840401,0.0538,15.468,1.009,-1.009,174.8065,25.4264,-25.4264,6.875,1850,6120
WASP-16 b,3.1186,,13.675,1.121,-1.121,394.1092,79.4575,-79.4575,4.96,,5700
WASP-160 B b,3.7684952,0.0452,12.218,0.527,-0.46,88.35674,13.98452,-14.30235,6.318181818,1119,5298
WASP-161 b,5.4060425,0.0673,12.812,0.729,-0.65,791.3967,66.7443,-66.7443,11.85714286,1557,6400
WASP-162 b,9.62468,0.0871,11.209,0.56,-0.56,1652.716,63.566,-63.566,26,910,5300
WASP-163 b,1.6096884,0.0266,13.473,1.087,-1.087,594.3421,66.7443,-66.7443,8.904761905,1638,5500
WASP-164 b,1.7771255,0.02818,12.644,0.46,-0.482,676.9779,38.1396,-41.3179,17.75,1610,5806
WASP-165 b,3.465509,0.04823,14.123,2.13,-1.906,209.13214,30.82951,-29.24036,6.783505155,1624,5599
WASP-166 b,5.44354,0.0641,7.062,0.336,-0.336,32.10083,1.58915,-1.58915,20.2,1270,6050
WASP-168 b,4.153658,0.0519,16.814,5.604,-3.363,133.4886,12.7132,-12.7132,10.5,1340,6000
WASP-169 b,5.6114118,0.0681,14.617,1.681,-0.818,178.30263,19.38763,-19.38763,9.196721311,1604,6110
WASP-17 b,3.73543,,20.961,2.69,-2.69,247.9074,73.1009,-73.1009,3.391304348,,6550
WASP-170 b,2.34478022,0.0337,12.285,0.953,-0.953,508.528,63.566,-63.566,8,1422,5600
WASP-171 b,3.8186244,0.0504,10.985,0.785,-0.448,344.52772,29.87602,-29.87602,11.53191489,1642,5965
WASP-172 b,5.477433,0.0694,17.598,1.121,-1.121,149.3801,31.783,-31.783,4.7,1740,6900
WASP-173 A b,1.38665318,0.0248,13.451,0.673,-0.673,1172.7927,57.2094,-57.2094,20.5,1880,5800
WASP-174 b,4.2337005,0.05503,16.107,0.56,-0.56,104.88337,28.92239,-28.92239,3.626372855,1528,6399
WASP-175 b,3.0652907,0.04403,13.54,0.908,-0.908,314.6517,41.3179,-41.3179,7.615384615,1571,6229
WASP-176 b,3.899052,0.0535,16.87,0.56,-0.504,271.74465,22.88376,-21.93027,11.875,1721,5941
WASP-177 b,3.071722,0.03957,17.71,7.398,-4.035,161.45764,12.07754,-12.07754,13.36842105,1142,5017
WASP-178 b,3.3448285,0.0558,20.288,1.009,-1.009,527.5978,38.1396,-38.1396,13.83333333,2470,9360
WASP-18 b,0.94145223,0.02024,13.899,0.886,-0.886,3241.84975,111.23994,-111.23994,29.14285777,2429,6432
WASP-180 A b,3.409264,0.048,13.899,0.448,-0.448,286.047,31.783,-31.783,9,1540,6600
WASP-181 b,4.5195064,0.05427,13.271,0.796,-0.661,95.03117,10.80622,-10.80622,8.794117647,1186,5839
WASP-182 b,3.3769848,0.0451,9.528,0.336,-0.336,47.03884,3.49613,-3.49613,13.45454545,1479,5638
WASP-183 b,4.1117771,0.04632,16.477,10.536,-3.699,159.55066,14.93801,-14.93801,10.68085106,1111,5313
WASP-184 b,5.1817,0.0627,14.908,1.009,-1.009,181.1631,31.783,-31.783,5.7,1480,6000
WASP-185 b,9.38755,0.0904,14.011,0.897,-0.897,311.4734,19.0698,-19.0698,16.33333333,1160,5900
WASP-186 b,5.026799,0.06,12.442,0.336,-0.336,1341.2426,57.2094,-57.2094,23.44444444,,6361
WASP-187 b,5.147878,0.0653,18.383,0.56,-0.56,254.264,28.6047,-28.6047,8.888888889,,6150
WASP-189 b,2.724033,0.05053,18.147,0.235,-0.235,632.47853,50.85255,-44.49598,12.43749881,3353,8000
WASP-19 b,0.78883852,0.01652,15.861,0.493,-0.538,366.77398,24.79062,-25.42627,14.79486919,2113,5616
WASP-190 b,5.367753,0.0663,12.89,1.009,-1.009,317.83,31.783,-31.783,10,1500,6400
WASP-192 b,2.8786765,0.0408,13.787,0.897,-0.897,731.009,50.8528,-50.8528,14.375,1620,5910
WASP-193 b,6.2463345,0.0676,16.41,0.661,-0.639,44.17815,9.21702,-9.21702,4.793105581,1254,6078
WASP-2 b,2.152175,0.03144,12.117,0.46,-0.448,295.89973,19.0698,-18.43414,15.51666667,1311,5180
WASP-20 b,4.8996284,0.06,16.388,0.661,-0.661,98.841,5.403,-5.403,18.29372571,1379,5940
WASP-21 b,4.322482,0.052,11.99,0.56,-0.56,95.345,3.496,-3.496,27.27259725,,
WASP-22 b,3.53269,,13.787,1.569,-1.569,212.9461,60.3877,-60.3877,3.526315789,,6000
WASP-23 b,2.9444256,0.0376,10.783,0.527,-0.628,280.95,27.968,-31.464,10.04540904,,5150
WASP-24 b,2.34121,,15.468,1.793,-1.793,394.1092,92.1707,-92.1707,4.275862069,,6075
WASP-25 b,3.76483,,11.994,1.121,-1.121,139.8452,31.783,-31.783,4.4,,5750
WASP-26 b,2.7566,,13.563,1.681,-1.681,270.1555,73.1009,-73.1009,3.695652174,,6034
WASP-28 b,3.40883495,0.0442,13.664,0.314,-0.314,282.54945,18.43405,-18.43405,15.32758401,1456,
WASP-29 b,3.92273,,8.631,0.785,-0.785,73.1009,15.8915,-15.8915,4.6,,4800
WASP-3 b,1.84683,,15.917,1.906,-1.906,772.3269,168.4499,-168.4499,4.58490566,,6400
WASP-31 b,3.4059096,0.04659,17.363,0.56,-0.56,151.916,9.217,-9.217,16.48215254,,6302
WASP-32 b,2.71866,,10.761,1.681,-1.681,835.8929,260.6206,-260.6206,3.207317073,,6140
WASP-33 b,1.21987,0.0239,17.856,0.829,-0.829,665.21819,44.17837,-44.17837,15.05755396,2782,7430
WASP-34 b,4.31768,,11.209,0.897,-0.897,177.9848,54.0311,-54.0311,3.294117647,,5700
WASP-35 b,3.16158,,14.572,0.785,-0.785,225.6593,31.783,-31.783,7.1,,5990
WASP-36 b,1.53736596,0.02677,14.874,0.235,-0.235,750.39663,22.2481,-22.2481,33.72857143,1733,5959
WASP-37 b,3.577469,0.0446,13.002,0.785,-0.673,572.07,54.029,-54.029,10.58820263,,5800
WASP-38 b,6.87188,,13.787,0.673,-0.673,1093.3352,114.4188,-114.4188,9.555555556,,6180
WASP-39 b,4.055259,0.0486,14.235,0.448,-0.448,88.989,9.535,-9.535,9.332878867,,5400
WASP-4 b,1.33823147,0.0226,14.807,0.437,-0.437,376.94638,28.6047,-31.14734,13.17777778,,5400
WASP-41 b,3.0524,,12.33,0.56,-0.56,270.1555,34.9613,-34.9613,7.727272727,,5545
WASP-42 b,4.9816819,0.0561,12.576,0.437,-0.437,167.49641,8.89924,-8.89924,18.82142857,1021,5315
WASP-43 b,0.813475,0.0142,10.424,0.785,-1.009,565.714,31.782,-31.782,17.7998238,,4400
WASP-44 b,2.423804,0.03453,12.33,0.908,-0.852,276.5121,20.02329,-19.70546,13.80952381,1337,5420
WASP-45 b,3.126089,0.03963,10.604,0.65,-0.572,306.38812,18.43414,-17.79848,16.62068966,1153,5150
WASP-46 b,1.43036763,0.02335,13.159,0.415,-0.415,607.0553,41.3179,-41.3179,14.69230769,1636,5600
WASP-47 b,4.1591492,,12.64,0.15,-0.15,363.6,7.3,-7.3,49.80821918,,5552
WASP-47 d,9.03055,,3.567,0.045,-0.045,14.2,1.3,-1.3,10.92307692,,5552
WASP-47 e,0.7895933,,1.808,0.026,-0.026,6.77,0.57,-0.57,11.87719298,,5552
WASP-48 b,2.14363,,16.814,2.242,-2.242,254.264,73.1009,-73.1009,3.47826087,,5920
WASP-49 b,2.78174,,12.442,1.233,-1.233,117.5971,25.4264,-25.4264,4.625,,5600
WASP-5 b,1.6284279,0.0267,12.184,0.762,-0.796,502.15,41.32,-31.78,12.15271055,1706,5700
WASP-50 b,1.9551,0.0293,13.07,0.482,-0.482,466.8287,29.24036,-29.24036,15.96521725,1395,5400
WASP-52 b,1.7497798,0.0272,14.24,0.34,-0.34,146.2,6.36,-6.36,22.98742138,1315,5000
WASP-53 b,3.3098443,0.04101,12.038,0.415,-0.415,677.61356,29.24036,-29.87602,23.17391304,1053,4953
WASP-54 b,3.69364,,17.71,1.906,-1.906,187.5197,44.4962,-44.4962,4.214285714,,6100
WASP-55 b,4.46563,,14.908,1.457,-1.457,193.8763,41.3179,-41.3179,4.692307692,,5900
WASP-56 b,4.6171,,10.536,1.009,-1.009,143.0235,28.6047,-28.6047,5,,5600
WASP-57 b,2.83891856,0.03769,11.769,0.594,-0.594,204.68252,19.70546,-19.70546,10.38709677,1338,5600
WASP-58 b,5.01718,,16.029,1.569,-1.569,308.2951,88.9924,-88.9924,3.464285714,,5800
WASP-59 b,7.919585,0.0697,8.687,0.762,-0.762,274.276,14.302,-14.302,19.1774577,670,4650
WASP-6 b,3.36101,,11.545,1.121,-1.121,117.5971,25.4264,-25.4264,4.625,,5450
WASP-60 b,4.305,,9.864,1.345,-1.345,174.8065,60.3877,-60.3877,2.894736842,,5900
WASP-61 b,3.8559,,15.805,2.466,-2.466,851.7844,266.9772,-266.9772,3.19047619,,6250
WASP-62 b,4.41195,,14.796,0.897,-0.897,165.2716,25.4264,-25.4264,6.5,,6230
WASP-63 b,4.37808,,15.805,1.569,-1.569,117.5971,28.6047,-28.6047,4.111111111,,5550
WASP-64 b,1.5732918,0.02648,14.247,0.437,-0.437,403.945,21.612,-21.612,18.69077364,1689,5400
WASP-65 b,2.3114243,0.0334,12.464,0.661,-0.661,492.62,50.85,-50.85,9.687708948,1480,5600
WASP-66 b,4.08605,,15.693,3.139,-3.139,746.9005,311.4734,-311.4734,2.397959184,,6600
WASP-67 b,4.61442,,12.89,1.233,-1.233,136.6669,28.6047,-28.6047,4.777777778,,5200
WASP-68 b,5.0843,,14.796,1.569,-1.569,343.2564,79.4575,-79.4575,4.32,,5910
WASP-69 b,3.86814,,12.442,0.448,-0.448,92.1707,9.5349,-9.5349,9.666666667,,4700
WASP-7 b,4.9546416,0.0617,14.908,1.042,-1.042,305.1168,41.3179,-41.3179,7.384615385,1487,6400
WASP-70 A b,3.7130203,0.04853,13.047,0.818,-1.143,187.512,6.992,-6.992,26.8180778,1387,5763
WASP-71 b,2.90367,,13.227,1.345,-1.345,441.7837,104.8839,-104.8839,4.212121212,,6050
WASP-72 b,2.21673,,14.46,2.018,-2.018,731.009,222.481,-222.481,3.285714286,,6250
WASP-73 b,4.08722,,15.917,2.466,-2.466,908.9938,292.4036,-292.4036,3.108695652,,6030
WASP-74 b,2.13775,,15.244,1.121,-1.121,228.8376,38.1396,-38.1396,6,,5990
WASP-75 b,2.484193,0.0375,14.235,0.538,-0.538,340.06,15.89,-15.89,21.40088106,1710,6100
WASP-76 b,1.809886,0.033,20.512,0.673,-0.448,292.4036,9.5349,-9.5349,30.66666667,2160,6250
WASP-77 A b,1.36002854,0.02335,13.787,0.347,-0.325,529.81995,21.61233,-20.34102,24.51470758,1715,5617
WASP-78 b,2.17518,,21.633,5.044,-5.044,352.7913,171.6282,-171.6282,2.055555556,,6100
WASP-79 b,3.662392,0.0519,17.15,0.448,-0.448,270.15415,25.42627,-25.42627,10.62500123,1716,6600
WASP-8 b,8.15872,,12.666,0.56,-0.56,807.2882,104.8839,-104.8839,7.696969697,,5600
WASP-80 b,3.06785234,0.0344,11.198,0.336,-0.347,170.99254,11.12405,-11.44188,15.37142857,825,4143
WASP-81 b,2.7164762,0.03908,16.018,0.572,-0.516,231.69807,11.44188,-11.12405,20.25,1623,5870
WASP-82 b,2.70579,,18.159,1.457,-1.457,371.8611,63.566,-63.566,5.85,,6480
WASP-83 b,4.971252,0.059,11.657,0.897,-0.56,95.349,9.5349,-9.5349,10,1120,5510
WASP-84 b,8.52349648,0.0778,10.72,0.27,-0.27,220,18,-18,12.22222222,732,
WASP-84 c,1.4468849,0.02359,1.95,0.12,-0.12,15.2,4.5,-4.2,3.377777778,1329,
WASP-85 A b,2.6556777,0.039,13.899,0.336,-0.336,402.05495,20.65895,-20.65895,19.46153846,1452,6112
WASP-87 b,1.682795,0.02946,15.524,0.673,-0.673,692.8694,47.6745,-47.6745,14.53333333,,6450
WASP-88 b,4.954,,16.365,2.354,-2.354,133.4886,44.4962,-44.4962,3,,6430
WASP-89 b,3.3564227,0.0427,11.657,0.448,-0.448,1875.197,127.132,-127.132,14.75,1120,5130
WASP-90 b,3.916243,0.0562,18.271,1.009,-1.009,200.2329,22.2481,-22.2481,9,1840,6430
WASP-91 b,2.798581,0.037,11.545,0.448,-0.448,425.8922,25.4264,-25.4264,16.75,1160,4920
WASP-92 b,2.1746742,0.0348,16.376,0.863,-0.863,255.85315,21.61244,-21.61244,11.83823529,1871,6280
WASP-93 b,2.7325321,0.04211,17.901,0.863,-0.863,467.2101,92.1707,-92.1707,5.068965517,1942,6700
WASP-94 A b,3.95019,,17.71,1.457,-1.457,158.915,41.3179,-41.3179,3.846153846,,6170
WASP-95 b,2.18467,,13.787,1.009,-1.009,457.6752,88.9924,-88.9924,5.142857143,,5830
WASP-96 b,3.4252602,0.0453,13.45,0.67,-0.67,152.55,9.53,-9.53,16.00734523,1285,5540
WASP-97 b,2.07276,,12.778,0.673,-0.673,432.2488,60.3877,-60.3877,7.157894737,,5640
WASP-98 b,2.96264036,0.03762,12.823,0.381,-0.381,293.03926,25.4264,-25.4264,11.525,1171,5473
WASP-99 b,5.75251,,11.433,0.673,-0.673,772.3269,117.5971,-117.5971,6.567567568,,6150
Wendelstein-1 b,2.663416,0.0282,11.561,0.068,-0.068,188.15536,52.44195,-41.00007,3.587878788,2198,4251
Wendelstein-2 b,1.7522239,0.0234,12.993,0.229,-0.235,232.33373,171.94603,-98.84513,1.351201479,2470,4591
Wolf 503 b,6.00127,0.05712,2.043,0.069,-0.069,6.27,0.85,-0.84,7.376470588,789,4716
WTS-1 b,3.352057,0.047,16.7,1.79,-2.02,1274.44,111.24,-111.24,11.45667026,1500,6250
WTS-2 b,1.0187068,0.01855,15.278,0.684,-0.684,355.9696,50.8528,-50.8528,7,2000,5000
XO-1 b,3.94153,,12.778,0.785,-0.785,263.7989,41.3179,-41.3179,6.384615385,,5750
XO-2 N b,2.61586178,0.0368,11.131,0.135,-0.135,179.89178,7.94575,-7.94575,22.64,,
XO-3 b,3.19154,,15.805,1.345,-1.345,2316.9807,378.2177,-378.2177,6.12605042,,6429
XO-4 b,4.12508,,14.011,0.897,-0.897,451.3186,60.3877,-60.3877,7.473684211,,6397
XO-5 b,4.1877558,0.0515,12.78,0.34,-0.34,378.2,9.53,-9.53,39.68520462,1230,5430
XO-7 b,2.8641424,0.04421,15.39,0.291,-0.291,225.34147,10.80622,-10.80622,20.85294118,1743,6250