jd,mnvel,errvel,bc,inst,tel
9069.6744,-1.45606,3.86931,0,CARMENES,CARMENES
9073.6703,3.98655,5.75976,0,CARMENES,CARMENES
9095.6713,-5.64206,3.69409,0,CARMENES,CARMENES
9097.6749,4.44407,4.11859,0,CARMENES,CARMENES
9098.6754,2.07069,3.49787,0,CARMENES,CARMENES
9099.6693,-7.20058,3.6883,0,CARMENES,CARMENES
9101.6859,-1.14113,3.99795,0,CARMENES,CARMENES
9102.6845,-9.42242,4.77816,0,CARMENES,CARMENES
9103.6777,4.87659,3.52878,0,CARMENES,CARMENES
9114.7106,5.88264,4.43782,0,CARMENES,CARMENES
9118.6966,-2.26066,3.88822,0,CARMENES,CARMENES
9120.6746,-5.68295,3.58736,0,CARMENES,CARMENES
9121.6352,-4.03874,3.56043,0,CARMENES,CARMENES
9122.6841,4.30556,3.51839,0,CARMENES,CARMENES
9127.6877,-1.34496,3.98482,0,CARMENES,CARMENES
9128.6223,1.4196,3.52358,0,CARMENES,CARMENES
9131.6723,3.75243,3.51323,0,CARMENES,CARMENES
9132.6702,3.63473,4.11177,0,CARMENES,CARMENES
9138.6485,4.3638,4.4895,0,CARMENES,CARMENES
9139.4464,-0.20064,4.18746,0,CARMENES,CARMENES
9139.5469,-0.03963,3.43836,0,CARMENES,CARMENES
9139.6241,3.36406,4.20138,0,CARMENES,CARMENES
9139.7292,-0.00429,3.56578,0,CARMENES,CARMENES
9140.5196,-1.69982,3.38205,0,CARMENES,CARMENES
9140.5965,-1.50433,3.43354,0,CARMENES,CARMENES
9140.6963,0.25686,3.46772,0,CARMENES,CARMENES
9141.5171,-4.69291,4.11177,0,CARMENES,CARMENES
9141.5792,-1.4953,4.09818,0,CARMENES,CARMENES
9141.6397,0.09485,4.25049,0,CARMENES,CARMENES
9141.7027,-2.46358,3.97175,0,CARMENES,CARMENES
9142.5187,5.74839,4.07115,0,CARMENES,CARMENES
9146.5184,-2.03645,4.18746,0,CARMENES,CARMENES
9146.6025,4.03617,3.60376,0,CARMENES,CARMENES
9147.408,-2.82977,3.68254,0,CARMENES,CARMENES
9147.5126,-0.82227,4.15286,0,CARMENES,CARMENES
9149.4108,-4.1766,4.21535,0,CARMENES,CARMENES
9149.5024,-3.02039,3.90091,0,CARMENES,CARMENES
9149.5915,-2.21391,4.08464,0,CARMENES,CARMENES
9149.6962,-0.44553,4.96681,0,CARMENES,CARMENES
9150.3895,-5.39317,3.78902,0,CARMENES,CARMENES
9151.6239,-3.51423,3.49787,0,CARMENES,CARMENES
9151.7309,4.95272,3.59828,0,CARMENES,CARMENES
9152.4645,-1.23063,3.47768,0,CARMENES,CARMENES
9153.382,-0.80817,3.85054,0,CARMENES,CARMENES
9153.4717,2.18171,3.64269,0,CARMENES,CARMENES
9154.4992,-0.21729,3.48773,0,CARMENES,CARMENES
9154.6201,-0.46591,3.47269,0,CARMENES,CARMENES
9156.4518,4.43788,3.40979,0,CARMENES,CARMENES
9156.5853,3.03183,3.4145,0,CARMENES,CARMENES
9161.3599,3.90408,4.43782,0,CARMENES,CARMENES
9161.4505,6.6835,4.98273,0,CARMENES,CARMENES
9161.5732,1.65184,3.42397,0,CARMENES,CARMENES
9161.6724,-1.97684,3.7174,0,CARMENES,CARMENES
9163.3774,0.36664,4.24344,0,CARMENES,CARMENES
9163.4992,-3.98165,4.27172,0,CARMENES,CARMENES
9173.891663,-2.6669,2.20497,0,MXB,MXB_2020
9173.980619,-3.01838,1.81719,0,MXB,MXB_2020
9180.873601,-0.06396,1.64408,0,MXB,MXB_2020
9180.959095,-2.46275,1.63012,0,MXB,MXB_2020
9181.031446,0.90952,1.81308,0,MXB,MXB_2020
9181.84025,2.64444,2.07797,0,MXB,MXB_2020
9181.93144,2.47427,1.69356,0,MXB,MXB_2020
9182.012588,-1.7621,2.25726,0,MXB,MXB_2020
9182.813511,2.14636,2.3835,0,MXB,MXB_2020
9182.892157,-1.48856,1.83368,0,MXB,MXB_2020
9182.979428,-0.63904,1.76654,0,MXB,MXB_2020
9183.079987,0.85482,2.2813,0,MXB,MXB_2020
9183.767831,3.44704,2.48673,0,MXB,MXB_2020
9183.994236,-0.49327,1.83864,0,MXB,MXB_2020
9184.075053,2.1053,2.20232,0,MXB,MXB_2020
9185.034835,0.327,1.52,0,MXB,MXB_2020
9173.891663,0.44886,1.81731,0,MXR,MXR_2020
9173.980619,2.43138,1.67303,0,MXR,MXR_2020
9180.873601,-0.3792,1.59896,0,MXR,MXR_2020
9180.959095,1.22101,1.59896,0,MXR,MXR_2020
9181.031446,-1.55072,1.64212,0,MXR,MXR_2020
9181.84025,0.14219,1.75079,0,MXR,MXR_2020
9181.93144,-0.35097,1.61408,0,MXR,MXR_2020
9182.012588,2.16066,1.8305,0,MXR,MXR_2020
9182.813511,-2.70888,1.8613,0,MXR,MXR_2020
9182.892157,-0.6178,1.65939,0,MXR,MXR_2020
9182.979428,-1.21428,1.63012,0,MXR,MXR_2020
9183.079987,-0.23342,1.75017,0,MXR,MXR_2020
9183.767831,3.7728,1.75766,0,MXR,MXR_2020
9183.83016,-1.87553,2.12679,0,MXR,MXR_2020
9183.994236,-0.73052,1.64047,0,MXR,MXR_2020
9184.075053,-1.99594,1.72498,0,MXR,MXR_2020
9185.034835,0.86676,1.5159,0,MXR,MXR_2020
9515.038535,-1.40977,1.45922,0,MXB,MXB_2021
9520.127913,1.10008,1.61758,0,MXB,MXB_2021
9525.864795,-1.02527,1.96269,0,MXB,MXB_2021
9529.920155,-0.96082,1.62691,0,MXB,MXB_2021
9537.989318,-1.58332,1.33699,0,MXB,MXB_2021
9538.851939,0.97555,1.54287,0,MXB,MXB_2021
9539.810523,1.8538,1.54786,0,MXB,MXB_2021
9539.85581,0.58033,1.37882,0,MXB,MXB_2021
9539.993407,1.79251,1.76222,0,MXB,MXB_2021
9540.051451,-0.74395,1.64905,0,MXB,MXB_2021
9515.038535,1.10801,1.3301,0,MXR,MXR_2021
9520.127913,-0.55114,1.34577,0,MXR,MXR_2021
9525.864795,1.26351,1.46073,0,MXR,MXR_2021
9529.920155,0.32996,1.37572,0,MXR,MXR_2021
9537.989318,1.03746,1.26764,0,MXR,MXR_2021
9538.851939,-0.68967,1.30923,0,MXR,MXR_2021
9539.810523,-2.17442,1.26205,0,MXR,MXR_2021
9539.85581,-0.05789,1.25207,0,MXR,MXR_2021
9539.993407,0.17029,1.41954,0,MXR,MXR_2021
9540.051451,-0.10417,1.34401,0,MXR,MXR_2021
9119.989603,5.00251,3.36698,0,IRD,IRD
9120.000354,7.33396,3.74964,0,IRD,IRD
9123.015415,3.34803,3.20727,0,IRD,IRD
9123.02619,-2.53454,3.27144,0,IRD,IRD
9123.037015,-3.10989,3.25166,0,IRD,IRD
9153.023226,1.45815,3.97178,0,IRD,IRD
9153.033987,3.81199,3.7086,0,IRD,IRD
9156.942314,-3.65915,3.88608,0,IRD,IRD
9156.953025,-0.94171,3.90292,0,IRD,IRD
9157.026922,-2.55871,3.92525,0,IRD,IRD
9157.037603,0.69018,3.89372,0,IRD,IRD
9188.868942,0.19361,3.8171,0,IRD,IRD
9188.879625,4.22917,5.18049,0,IRD,IRD
9188.956892,-3.12251,3.16214,0,IRD,IRD
9188.971098,-0.60155,3.54615,0,IRD,IRD
9188.985306,2.67623,3.15498,0,IRD,IRD
9189.797707,4.69888,3.27959,0,IRD,IRD
9189.808401,-1.01831,3.27542,0,IRD,IRD
9189.867771,-3.38189,3.22519,0,IRD,IRD
9189.878453,-2.49124,3.18354,0,IRD,IRD
9242.89031,-1.45462,4.17715,0,IRD,IRD
9242.900989,-0.66657,4.15438,0,IRD,IRD
9242.911671,-0.34946,4.15448,0,IRD,IRD
9242.92235,0.60116,4.3076,0,IRD,IRD
9242.933034,-4.32401,3.85056,0,IRD,IRD
9242.943732,3.55165,4.11464,0,IRD,IRD
9244.837372,-1.96152,4.06539,0,IRD,IRD
9244.848051,0.79696,3.86181,0,IRD,IRD
9244.858748,-2.95755,3.84684,0,IRD,IRD
9244.928065,2.50489,3.84371,0,IRD,IRD
9244.938749,5.42168,3.88618,0,IRD,IRD
9247.74093,0.7175,4.94889,0,IRD,IRD
9247.749498,3.04161,4.66338,0,IRD,IRD
9247.758065,-3.53653,4.7515,0,IRD,IRD
9247.766649,-4.67983,5.35002,0,IRD,IRD