BJD,Halpha,Halpha_err,CaIRT,CaIRT_err,Inst
2459069.674,0.8715,0.0043,0.6121,0.0031,CAR
2459073.67,0.8531,0.0095,0.6132,0.0067,CAR
2459095.671,0.8605,0.0037,0.6124,0.0029,CAR
2459097.675,0.8794,0.0059,0.6111,0.0044,CAR
2459098.675,0.8591,0.0029,0.6054,0.0023,CAR
2459099.669,0.848,0.0031,0.6069,0.0025,CAR
2459101.686,0.8539,0.005,0.601,0.0037,CAR
2459102.685,0.852,0.0047,0.6002,0.0035,CAR
2459103.678,0.8635,0.003,0.6062,0.0024,CAR
2459114.711,0.8709,0.0058,0.6069,0.0042,CAR
2459118.697,0.8573,0.004,0.6134,0.0031,CAR
2459120.675,0.8422,0.003,0.6135,0.0024,CAR
2459121.635,0.8777,0.0033,0.6192,0.0025,CAR
2459122.684,0.8602,0.0046,0.6126,0.0035,CAR
2459127.688,0.8678,0.0041,0.6235,0.0032,CAR
2459128.622,0.8685,0.0033,0.6157,0.0026,CAR
2459131.672,0.8874,0.0031,0.6121,0.0024,CAR
2459132.67,0.927,0.005,0.6233,0.0037,CAR
2459138.649,0.9023,0.0079,0.624,0.0058,CAR
2459139.446,0.9378,0.0053,0.6143,0.0038,CAR
2459139.547,0.8794,0.0038,0.6089,0.0029,CAR
2459139.624,0.8765,0.0047,0.6088,0.0035,CAR
2459139.729,0.8773,0.0038,0.6246,0.0032,CAR
2459140.52,0.8837,0.0029,0.6159,0.0023,CAR
2459140.597,0.884,0.0029,0.6201,0.0023,CAR
2459140.696,0.9025,0.0034,0.623,0.0027,CAR
2459141.517,0.8737,0.0042,0.6242,0.0032,CAR
2459141.579,0.8732,0.0048,0.6133,0.0036,CAR
2459141.64,0.8755,0.0047,0.6164,0.0035,CAR
2459141.703,0.8756,0.0044,0.6143,0.0037,CAR
2459142.519,0.8788,0.0055,0.6051,0.0039,CAR
2459146.518,0.8472,0.006,0.5986,0.0044,CAR
2459146.603,0.8671,0.0051,0.6118,0.0039,CAR
2459147.408,0.8812,0.0058,0.6122,0.0041,CAR
2459147.513,0.8605,0.0062,0.6149,0.0043,CAR
2459149.411,0.8765,0.0054,0.6174,0.0039,CAR
2459149.502,0.8563,0.0048,0.6117,0.0036,CAR
2459149.592,0.8749,0.0051,0.6117,0.0039,CAR
2459149.696,0.8493,0.0073,0.6071,0.0058,CAR
2459150.39,0.8578,0.0041,0.6025,0.0032,CAR
2459151.624,0.8627,0.0033,0.6118,0.0026,CAR
2459151.731,0.8928,0.004,0.6265,0.0032,CAR
2459152.465,0.8654,0.0029,0.6183,0.0023,CAR
2459153.382,0.8557,0.0037,0.609,0.0029,CAR
2459153.472,0.9707,0.0032,0.6261,0.0024,CAR
2459154.499,0.8606,0.0029,0.6142,0.0023,CAR
2459154.62,0.866,0.0034,0.6192,0.0028,CAR
2459156.452,0.8961,0.0038,0.6187,0.003,CAR
2459156.585,0.8785,0.0027,0.6094,0.0022,CAR
2459161.36,0.8561,0.0067,0.6055,0.0047,CAR
2459161.451,0.862,0.0076,0.6142,0.0055,CAR
2459161.573,0.8814,0.0042,0.6113,0.0032,CAR
2459161.672,0.8623,0.0039,0.6153,0.0032,CAR
2459163.377,0.9328,0.0069,0.6167,0.0049,CAR
2459163.499,0.8851,0.0062,0.6183,0.0045,CAR
2459173.892,0.656217638,0.007900794,0.640233351,0.001443254,MXR_20
2459173.981,0.647674359,0.00581256,0.639454463,0.001179471,MXR_20
2459180.874,0.64941447,0.004884516,0.634504862,0.001079455,MXR_20
2459180.959,0.630063541,0.004877424,0.638112301,0.001065886,MXR_20
2459181.031,0.674349453,0.005720444,0.643800592,0.001172843,MXR_20
2459181.84,0.665003203,0.007298236,0.639257114,0.001379387,MXR_20
2459181.931,0.650928696,0.005439983,0.637452239,0.001103309,MXR_20
2459182.013,0.633839907,0.008416217,0.631309504,0.001531865,MXR_20
2459182.814,0.698401616,0.009285332,0.63992609,0.001629469,MXR_20
2459182.892,0.651892768,0.006203539,0.63420488,0.001220896,MXR_20
2459182.979,0.650800983,0.005797807,0.640453934,0.001144556,MXR_20
2459183.08,0.638959523,0.007775111,0.638255749,0.001384336,MXR_20
2459183.768,0.66487044,0.007817197,0.642490952,0.001390243,MXR_20
2459183.83,0.665827516,0.011990404,0.639977523,0.001957019,MXR_20
2459183.994,0.662330558,0.00600511,0.64137075,0.00117684,MXR_20
2459184.075,0.640206202,0.007292148,0.632970008,0.001345065,MXR_20
2459185.035,0.647327986,0.003930953,0.631663402,0.000866002,MXR_20
2459515.039,0.634891535,0.004389506,0.636955642,0.000947617,MXR_21
2459520.128,0.616572391,0.004584796,0.634836573,0.000999775,MXR_21
2459525.865,0.619156977,0.006142788,0.635396667,0.00121592,MXR_21
2459529.92,0.601801226,0.004990235,0.626929826,0.001097087,MXR_21
2459537.989,0.601627693,0.003783141,0.631918409,0.000898628,MXR_21
2459538.852,0.628626379,0.004551082,0.632899688,0.000994275,MXR_21
2459539.811,0.621230663,0.003979771,0.63354145,0.000886551,MXR_21
2459539.856,0.607316019,0.003691657,0.633944886,0.00086894,MXR_21
2459539.993,0.610796871,0.005804188,0.625774036,0.001226557,MXR_21
2459540.051,0.604207143,0.005022729,0.625777747,0.001084873,MXR_21